Description,Category
Ordered burger from McDonald's,Food
Bought milk and bread from Reliance Fresh,Food
Uber ride to airport,Travel
Paid mobile bill online,Bills
Flipkart order for headphones,Shopping
Vegetable shopping at Big Bazaar,Food
Ola cab to railway station,Travel
Swiggy order - biryani,Food
Recharge for Jio SIM,Bills
Bought T-shirt from H&M,Shopping
Domino's pizza delivery,Food
Booked Rapido bike to office,Travel
Paid LPG gas bill,Bills
Amazon order for books,Shopping
KFC meal combo takeaway,Food
Taxi ride back home,Travel
Electricity bill payment,Bills
Myntra order for kurta,Shopping
Starbucks coffee,Food
Metro card recharge,Travel
DTH bill paid online,Bills
Bought jeans from Levi's,Shopping
Dinner at Barbeque Nation,Food
Uber auto to mall,Travel
Water utility bill,Bills
Ajio order for footwear,Shopping
Breakfast at Cafe Coffee Day,Food
Cab to friend's house,Travel
Internet broadband bill,Bills
Bought jacket from Zara,Shopping
Swiggy late night snacks,Food
Prepaid phone recharge,Bills
Rapido ride to college,Travel
Nykaa order for cosmetics,Shopping
Lunch at Subway,Food
Movie ticket taxi fare,Travel
Water bill cleared,Bills
Flipkart order for home decor,Shopping
Ordered dosa from local eatery,Food
Travel by Meru cab,Travel
Gas pipeline bill,Bills
Bought sports shoes Adidas,Shopping
Chai Point tea,Food
Uber to bus stand,Travel
Postpaid bill payment,Bills
Shoppers Stop order shirt,Shopping
Domino’s pasta combo,Food
Cab from hostel to market,Travel
Electricity recharge,Bills
Myntra fashion sale purchase,Shopping
Tandoori chicken from Behrouz Biryani,Food
Rickshaw ride to tuition,Travel
Mobile data pack recharge,Bills
Pantaloons ethnic wear shopping,Shopping
Ice cream at Baskin Robbins,Food
Cab fare to airport express,Travel
Water tank bill,Bills
Amazon Prime membership,Shopping
Lunch at Biryani Blues,Food
Metro ride to Connaught Place,Travel
Gas bill online,Bills
Bought denim at Max Fashion,Shopping
Breakfast order from Zomato,Food
Cab to railway junction,Travel
Electric meter bill,Bills
Ajio ethnic outfit purchase,Shopping
Sandwich from Costa Coffee,Food
Uber pool ride home,Travel
Electricity consumption bill,Bills
Flipkart mobile phone order,Shopping
Dinner at Mainland China,Food
Travel by Ola share,Travel
Telephone fixed line bill,Bills
Shirt from Arrow brand,Shopping
Ordered rolls from Faasos,Food
Ola ride to movie theatre,Travel
Gas subsidy payment,Bills
Lifestyle store shopping,Shopping
South Indian thali lunch,Food
Metro daily pass fare,Travel
Electricity bill on Paytm,Bills
Westside traditional wear,Shopping
Burger King takeaway burger,Food
Taxi to friend's wedding,Travel
Mobile plan recharge,Bills
Amazon Echo purchase,Shopping
Snacks from Haldiram's,Food
Ola cab fare to hotel,Travel
Water bill via UPI,Bills
Max store shopping sandals,Shopping
Momos from Wow Momos,Food
Uber intercity ride,Travel
Broadband WiFi bill,Bills
Flipkart laptop order,Shopping
Paneer tikka masala dinner,Food
Rickshaw shopping fare,Travel
Electricity reading charges,Bills
H&M sale purchase,Shopping
Domino’s garlic bread,Food
Taxi to airport T3,Travel
Mobile recharge Airtel,Bills
Nykaa lipstick order,Shopping
Keventers milkshake,Food
Cab to market mall,Travel
Water connection bill,Bills
Myntra festival shopping,Shopping
Lunch at Pizza Hut,Food
Travel by Ola mini,Travel
Gas cylinder payment,Bills
Shoppers Stop trousers,Shopping
Coffee at Café Mocha,Food
Uber drop to office,Travel
Postpaid Vodafone bill,Bills
Ajio discount shopping,Shopping
Chole bhature breakfast,Food
Taxi ride to station,Travel
Power bill online payment,Bills
Zara shirt purchase,Shopping
Dinner at Domino’s,Food
Auto rickshaw fare,Travel
Internet bill Airtel,Bills
Flipkart headphones order,Shopping
Fried rice from Chinese Wok,Food
Uber ride after party,Travel
Mobile SIM recharge,Bills
Pantaloons dress purchase,Shopping
Bought pizza from Dominos,Food
Uber ride to office,Travel
Paid electricity bill,Bills
Shopping at Zara,Shopping
Grocery from Big Bazaar,Food
Ola cab fare 200,Travel
Amazon order for shoes,Shopping
Lunch at 'The Corner Cafe',Food
Monthly rent payment,Bills
Train ticket to Mumbai,Travel
Subscription for Netflix Premium,Bills
